mol_id,MATS3p,F07[C-F],CATS2D_06_DD,nArNH2,nRCO
TOX1002,0.5697965003861722,0.0,0.0,0.0,0.0
TOX10047,0.5966525102885596,0.0,0.0,0.0,0.0
TOX10056,0.567060536077542,0.0,0.0,0.0,0.0
TOX1006,0.4755213188387853,0.0,0.0,0.0,0.0
TOX10060,0.2100901670254997,0.0,0.0,0.0,0.0
TOX10138,0.6183996362739111,0.0,0.0,0.0,0.6666666666666666
TOX10162,0.6389385132356866,0.0,0.0,0.0,0.0
TOX10189,0.6300967796498667,0.0,0.0,0.25,0.0
TOX10197,0.4329771486652175,0.0,0.0,0.0,0.0
TOX1022,0.5686181616081579,0.0,0.0,0.0,0.6666666666666666
TOX10258,0.6425903345166212,0.0,0.0,0.0,0.0
TOX1026,0.6611717156884844,0.0,0.0,0.0,0.0
TOX1027,0.7130276376771595,0.0,0.05,0.0,0.0
TOX1028,0.7329211198543663,0.0,0.0,0.0,0.0
TOX1029,0.3384332667458744,0.0,0.0,0.0,0.0
TOX1030,0.6325133141950205,0.0,0.0,0.0,0.0
TOX10307,0.5177125361127675,0.0,0.0,0.25,0.0
TOX1031,0.6045753191338745,0.0,0.0,0.0,0.0
TOX10317,0.7023497091266852,0.0,0.0,0.0,0.0
TOX1032,0.6554847140468636,0.0,0.0,0.0,0.0
TOX10336,0.6976107728953417,0.0,0.0,0.0,0.0
TOX1036,0.6242460214303067,0.0,0.0,0.0,0.0
TOX10384,0.5227063592171217,0.0,0.0,0.25,0.0
TOX1039,0.6637289109965564,0.0,0.0,0.0,0.0
TOX1040,0.6622536302258234,0.0,0.0,0.0,0.0
TOX10423,0.6678128334691915,0.0,0.0,0.0,0.0
TOX10428,0.7030239357373037,0.0,0.0,0.0,0.0
TOX10432,0.6227874687074617,0.0,0.0,0.0,0.0
TOX105,0.6246146974918682,0.0,0.05,0.0,0.0
TOX1053,0.6003913171215972,0.0,0.0,0.0,0.0
TOX1056,0.6639025741078316,0.0,0.0,0.0,0.0
TOX10588,0.6213202270719804,0.0,0.05,0.0,0.0
TOX1059,0.6427064361269361,0.0,0.0,0.0,0.0
TOX106,0.60334739014662,0.0,0.05,0.0,0.0
TOX1060,0.6147369873761886,0.0,0.0,0.0,0.0
TOX10604,0.557575683656259,0.0,0.0,0.0,0.3333333333333333
TOX10606,0.6741600304812403,0.0,0.0,0.0,0.0
TOX10607,0.8029476466003989,0.0,0.0,0.0,0.0
TOX1062,0.562372175816811,0.0,0.0,0.0,0.0
TOX10636,0.6742848583288947,0.0,0.05,0.0,0.3333333333333333
TOX1065,0.538230387592495,0.0,0.0,0.0,0.0
TOX10698,0.6733657377485327,0.0,0.6000000000000001,0.0,0.0
TOX107,0.6307229164413591,0.0,0.0,0.0,0.0
TOX1070,0.6430413171350717,0.0,0.0,0.0,0.0
TOX10760,0.6317850254349298,0.0,0.05,0.0,0.0
TOX10773,0.651458453298506,0.0,0.05,0.0,0.0
TOX10780,0.5931748552905173,0.0,0.0,0.0,0.0
TOX10787,0.7016780142233966,0.0,0.0,0.0,0.0
TOX108,0.6864934879675171,0.0,0.0,0.0,0.0
TOX1080,0.6254148812313576,0.0,0.0,0.0,0.0
TOX1081,0.5979868345552736,0.0,0.0,0.0,0.0
TOX1082,0.6187375424084036,0.0,0.0,0.0,0.0
TOX1084,0.6241222189316895,0.0,0.0,0.0,0.0
