mol_id,piID,GATS1i,P_VSA_p_3,LOGP99,Mp,P_VSA_charge_7,MATS1p,SpMax1_Bh(m),Fsp3,GATS1m,P_VSA_MR_7,SHED_DL,P_VSA_s_6,nR10,nR09,RBF,P_VSA_LogP_8,C-006,nCconj,P_VSA_LogP_4,F04[C-N],P_VSA_charge_11,nArOH,NaaaC,S3K,O-057,nR=Cs,P_VSA_charge_10,MATS1m,P_VSA_charge_1,nArX,F06[C-N],nCrt,F05[C-Cl],MDEC-44,MaxdssC,P_VSA_charge_5,C-040,C-034,C-039,P_VSA_MR_8,CATS2D_00_NN,nRNR2,nArNO2,s4_relPathLength_2,nArNH2,nRCO
TOX1002,0.2811593839935193,0.3114247893086914,0.1102951394341922,0.6948473724759789,0.0095580408095616,0.0980507934775179,0.5419278501119682,0.1897860519969261,0.142857142857143,0.1613494081395474,0.0792848287886634,0.0,0.0661892154671099,0.0,0.0,0.3,0.1380369791518082,0.0,0.0,0.0181051972596918,0.0714285714285714,0.0,0.0,0.0,0.0387762800652646,0.0,0.0,0.0132802392770935,0.639906942505105,0.0,0.0,0.0161290322580645,0.0,0.0,0.0,0.708526262496034,0.2430491941091614,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
TOX10047,0.361335932555145,0.2346174963281971,0.7289461371352692,0.7819818487978928,0.0282998068611853,0.8112817459234498,0.5160418822526083,0.3665868090372219,0.0,0.1655153333108042,0.0,0.0,0.0076412964915104,0.0,0.0,0.1666666666666666,0.7499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0747664079253181,0.0,0.0,0.0505189382606128,0.6124800518375572,0.0091635306262932,0.75,0.0,0.0,0.0,0.0,0.708526262496034,0.0,0.0,0.0,0.0,0.7499999999999992,0.0,0.0,0.0,0.0,0.0,0.0
TOX10056,0.3511157029684656,0.2409152493718857,0.5606433707629993,0.75914354938091,0.0229844851867131,0.3848198410315886,0.5098244050987557,0.3642661294344209,0.0,0.1455506592587745,0.0,0.0,0.0076412964915104,0.0,0.0,0.1666666666666666,0.5000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0657056731650835,0.0,0.0,0.0505189382606128,0.6102769176174445,0.0091635306262932,0.5,0.0,0.0,0.0,0.0,0.708526262496034,0.0,0.0,0.0,0.0,0.5000000000000013,0.0,0.0,0.0,0.0,0.0,0.0
TOX1006,0.1595900384168971,0.6098795810089742,0.0269745387659082,0.6565494170718106,0.0055857946262764,0.0,0.3152215543915204,0.1676783798124002,0.5,0.2058465576088805,0.0611805901973923,0.0,0.0712569752471174,0.0,0.0,0.1818181818181818,0.0,0.0,0.0,0.0360473272303925,0.0,0.0,0.0,0.0,0.035640178477114,0.0,0.0,0.0,0.6012841855221689,0.0274052233985794,0.0,0.0,0.0,0.0,0.0,0.5752555152039569,0.0810163980363871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOX10060,0.118383267084939,0.5030881230428315,0.2042380158725406,0.6943157266399169,0.0122887550265439,0.045657222592894,0.4808480476755738,0.1972856862406419,1.0,0.1455070792802534,0.0,0.0,0.0543908082651886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0824580385254897,0.0,0.0,0.0,0.608540399431445,0.0,0.0,0.0,0.0,0.0,0.0,0.708526262496034,0.2499999999999999,0.0,0.0,0.0,0.2129769134666589,0.0,0.0,0.0,0.0,0.0,0.0
TOX10138,0.168709169413573,0.4285625049080142,0.0702161966211985,0.6755134427654328,0.0073053409523235,0.045657222592894,0.4556576083371687,0.1720563792094123,0.666666666666667,0.2673361186944894,0.0,0.0,0.0349348729142201,0.0,0.0,0.352941176470588,0.0,0.0,0.0,0.0432102320851034,0.0,0.0,0.0,0.0,0.1186970597987681,0.0,0.0,0.0494595939400191,0.5892376728487997,0.0,0.0,0.0,0.0,0.0,0.0,0.7215925901109747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
TOX10162,0.2208739775457245,0.3115873650293514,0.1338114395219403,0.6815202897500833,0.0138817182772026,0.0,0.5307515463317354,0.2051973227034279,0.2,0.1963580572161334,0.0535955010397052,0.0,0.0291278469408193,0.0,0.0,0.1538461538461538,0.0,0.0,0.0416666666666666,0.042644959535038,0.0,0.0513121251520845,0.0,0.0,0.021758672266574,0.0,0.0,0.0,0.6292008987999985,0.0,0.0,0.0,0.0,0.0,0.0,0.7150449403527117,0.0998683622449769,0.0,0.0,0.25,0.0850786221756216,0.0,0.0,0.0,0.0,0.0,0.0
TOX10189,0.3306223075650397,0.2262308121510497,0.2009735947407648,0.705333521891737,0.0120603668114375,0.0327529894887794,0.5825021841234231,0.1893087745528612,0.0,0.2524611342405791,0.0,0.2539246293307177,0.0228527022983645,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0535714285714285,0.0,0.0,0.0,0.0289212459657063,0.0,0.0,0.0,0.6094779613280108,0.0274052233985794,0.0,0.0161290322580645,0.0,0.0,0.0,0.708526262496034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
TOX10197,0.1023847043178055,0.4392478973800456,0.1353910283167499,0.6881696043487378,0.01079504576154,0.0,0.4844970238084388,0.3632851928596664,1.0,0.1430549436284968,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0695988011197561,0.0,0.0,0.0,0.6092110937532701,0.0,0.0,0.0,0.0,0.0,0.0,0.708526262496034,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
TOX1022,0.1966303504470067,0.4560660829021771,0.0683905591161964,0.6635806188688551,0.0071299154782846,0.045657222592894,0.4169286001888099,0.1738675614232778,0.666666666666667,0.2120418022357308,0.0611805901973923,0.0,0.0658717094058633,0.0,0.0,0.5,0.0,0.1052631578947368,0.0,0.0613154293447952,0.0357142857142857,0.086890123063768,0.0,0.0,0.0968697139517495,0.0,0.0,0.0,0.6183908928441345,0.0,0.0,0.0,0.0,0.0,0.0,0.6789531939529063,0.0810163980363871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
