cid,Probability of nonactivity,Probability of activity
70021591,0.49872994,0.50127006
3080864,0.5496651,0.4503349
449489,0.5550306,0.44496942
90470199,0.56253546,0.43746454
3010374,0.5686995,0.4313005
21854256,0.57081544,0.42918456
5232177,0.5709022,0.42909777
10389132,0.5712196,0.42878038
139025680,0.5712196,0.42878038
507025,0.5716256,0.42837438
6534309,0.5716256,0.42837438
44829127,0.5726291,0.42737088
21853094,0.57287526,0.4271247
131884920,0.57510555,0.42489445
196433,0.5800698,0.41993025
21853097,0.582968,0.41703197
6509777,0.5835521,0.41644788
10308889,0.5843456,0.41565442
1549370,0.5848058,0.4151942
15938965,0.5848058,0.4151942
323498,0.58623695,0.41376302
47002148,0.5875608,0.41243923
189495,0.5881252,0.4118748
193541,0.5885908,0.4114092
3007133,0.59002125,0.40997875
135398639,0.5903248,0.40967518
3363163,0.5914883,0.4085117
6913230,0.5914883,0.4085117
446725,0.59202147,0.40797853
46173764,0.592597,0.40740302
469861,0.5929364,0.40706363
135600345,0.5955652,0.40443477
439541,0.5971066,0.40289342
6509778,0.59770834,0.40229166
3011927,0.59770834,0.40229166
139025108,0.5982106,0.4017894
146158356,0.59977686,0.40022317
513636,0.60067695,0.39932305
10915407,0.6009264,0.39907357
18643544,0.6012055,0.39879447
644264,0.60120976,0.3987902
34768,0.60120976,0.3987902
1549371,0.60120976,0.3987902
83862,0.60120976,0.3987902
446048,0.60120976,0.3987902
6083,0.60120976,0.3987902
54235934,0.60223305,0.39776698
25074416,0.6035077,0.3964923
13994713,0.60367775,0.39632228
125623,0.60367775,0.39632228
513632,0.6039853,0.3960147
124766,0.6041223,0.39587772
14258187,0.6042632,0.39573678
172916,0.60555536,0.39444464
3012255,0.60557705,0.39442295
139025050,0.6061691,0.3938309
22848660,0.6063106,0.39368942
71431203,0.6067296,0.39327034
135398640,0.6070701,0.39292988
5273977,0.6071205,0.3928795
3007132,0.60732543,0.39267457
12810881,0.6082944,0.39170557
121486745,0.6083927,0.39160725
5487206,0.6085448,0.3914552
136791445,0.60909605,0.39090395
93036,0.6101457,0.38985434
3005965,0.6102936,0.3897064
137191441,0.61050844,0.3894916
131882742,0.61140954,0.38859046
123789960,0.61334836,0.38665166
477552,0.61361825,0.38638172
3035986,0.61379457,0.3862054
5099290,0.6148308,0.3851692
10474045,0.61581373,0.38418627
121216596,0.61583066,0.38416934
481521,0.6163906,0.3836094
3034646,0.6187354,0.38126463
4269332,0.6187354,0.38126463
131858473,0.61900467,0.38099533
3009783,0.62014395,0.37985605
16760025,0.6206299,0.37937012
49866464,0.620842,0.379158
86751178,0.6217923,0.37820765
131884919,0.62216926,0.37783074
575855,0.6228174,0.37718257
13989306,0.6228174,0.37718257
125691,0.62294257,0.3770574
42552658,0.623989,0.37601104
42552656,0.623989,0.37601104
136272494,0.6245717,0.37542832
90674669,0.62491214,0.37508783
131858477,0.6249672,0.37503275
191759,0.6249702,0.37502983
3037684,0.62510204,0.37489793
137090731,0.6252538,0.3747462
3010386,0.62681735,0.37318268
440142,0.6273985,0.37260154
168120,0.62742,0.37258
15289164,0.62757766,0.37242237
72212336,0.62757766,0.37242237
92271314,0.62759984,0.37240013
6857539,0.62759984,0.37240013
125494577,0.62784064,0.37215933
97576,0.62789226,0.37210774
5287975,0.6279844,0.3720156
4369196,0.6280792,0.37192085
71429365,0.6285441,0.37145594
512718,0.62867916,0.3713208
16728571,0.62900555,0.37099448
470030,0.6290733,0.37092668
131843075,0.629383,0.37061697
53657227,0.6294149,0.37058505
71383199,0.62967515,0.37032482
134501092,0.6296954,0.3703046
161605,0.62975514,0.37024483
136248813,0.6297947,0.37020525
150973,0.62982523,0.37017474
135517354,0.62999344,0.37000656
68661802,0.6307487,0.3692513
135618545,0.63114023,0.3688598
9951889,0.63206214,0.36793786
3013082,0.6324773,0.36752275
444450,0.6325364,0.36746362
131881813,0.6333346,0.36666542
21676639,0.6340756,0.36592442
3011534,0.63422644,0.36577353
137287473,0.63451946,0.36548057
13566115,0.6349943,0.36500567
54206438,0.63529474,0.36470526
20849148,0.6355319,0.36446807
3000230,0.63564336,0.36435667
45052555,0.6361141,0.3638859
164580,0.63628805,0.36371192
7264506,0.63641834,0.3635817
23421209,0.63641834,0.3635817
135398630,0.63655984,0.36344016
515210,0.6365962,0.3634038
9975088,0.6366105,0.36338946
136259535,0.6366757,0.36332425
135398596,0.6366757,0.36332425
135398597,0.6368371,0.36316288
135596592,0.6368371,0.36316288
44199361,0.6375363,0.3624637
3080922,0.6378974,0.3621026
92209277,0.6378974,0.3621026
155885413,0.6378974,0.3621026
6338568,0.6380727,0.36192727
3081384,0.63817245,0.36182755
162367444,0.63832843,0.36167154
5273514,0.63839006,0.36160997
135804809,0.63855565,0.36144438
512601,0.6386136,0.3613864
15126147,0.63889813,0.3611019
5271296,0.63893676,0.36106324
163285485,0.6389489,0.36105105
53777786,0.63917387,0.3608261
135616719,0.63988745,0.36011252
10021283,0.6399934,0.36000657
137092996,0.6409093,0.35909066
16133029,0.6409175,0.35908252
54320536,0.64182127,0.35817873
3010410,0.6423727,0.3576273
194101,0.6425802,0.3574198
136228650,0.64287966,0.35712034
510969,0.64291084,0.3570892
91809617,0.64315,0.35685003
21122981,0.64361304,0.35638696
86592810,0.6446438,0.3553562
18661222,0.6449706,0.3550294
92231367,0.6449706,0.3550294
23531406,0.64505637,0.3549436
5276735,0.6451694,0.35483065
136100249,0.6453818,0.3546182
502241,0.6456007,0.35439932
10405378,0.6456343,0.3543657
492201,0.6460386,0.3539614
6334737,0.64615726,0.35384277
22867782,0.6463437,0.35365626
49784137,0.6464405,0.3535595
5274292,0.6464677,0.3535323
1190,0.6467385,0.35326144
122280,0.6467385,0.35326144
73323,0.6467385,0.35326144
13989283,0.64680004,0.35319996
451371,0.64680004,0.35319996
454142,0.6468243,0.3531757
