cid,Probability of nonactivity,Probability of activity
136265296,0.5005264,0.49947354
136265295,0.50065935,0.49934068
167956,0.5007607,0.4992393
13989304,0.5009596,0.49904042
92280929,0.5010521,0.49894792
13566115,0.5011482,0.49885175
131878154,0.50116384,0.49883613
121217573,0.50116384,0.49883613
500918,0.5011832,0.4988168
5276959,0.50123596,0.498764
5279532,0.5012422,0.49875778
121596077,0.5012586,0.49874142
71315149,0.50126624,0.49873376
139025281,0.50126624,0.49873376
90472732,0.5013029,0.4986971
5279533,0.50136364,0.4986364
164933,0.5014229,0.49857712
100795272,0.501487,0.49851295
66608846,0.5015267,0.49847332
139025195,0.50152814,0.4984719
92279361,0.5015422,0.4984578
49849608,0.5015429,0.49845707
13566112,0.50156295,0.49843705
24729357,0.50159943,0.49840057
5702244,0.50159943,0.49840057
6713582,0.50159943,0.49840057
16760387,0.50159943,0.49840057
6175,0.50159943,0.49840057
12358851,0.50159943,0.49840057
160696,0.50159943,0.49840057
6603781,0.50159943,0.49840057
136267259,0.50161135,0.49838862
102601364,0.5016248,0.49837518
13566110,0.5016282,0.49837178
121487034,0.5016372,0.49836278
131701110,0.5016443,0.4983557
91142034,0.5016443,0.4983557
54703164,0.5016536,0.4983464
92299334,0.5016536,0.4983464
54677885,0.5016536,0.4983464
5271955,0.5016849,0.49831513
5279534,0.5016928,0.4983072
11580280,0.5017047,0.4982953
5276957,0.501719,0.49828103
5276958,0.50172114,0.49827883
135464486,0.5017471,0.49825293
10638005,0.50174963,0.49825037
121487027,0.5017556,0.4982444
92440490,0.50175595,0.49824405
54684286,0.50175595,0.49824405
54706658,0.50175595,0.49824405
71407741,0.50177133,0.49822864
20849148,0.5017754,0.49822462
140252620,0.5017959,0.49820414
146503834,0.5017987,0.4982013
121487387,0.5018053,0.4981947
16212026,0.5018289,0.49817106
102602088,0.5018289,0.49817106
22211279,0.50183105,0.49816895
9992648,0.501833,0.49816698
107643,0.501833,0.49816698
92132277,0.501833,0.49816698
7269451,0.501833,0.49816698
13887579,0.501833,0.49816698
121486971,0.5018398,0.49816018
139025646,0.5018488,0.49815118
124202892,0.50185215,0.49814782
121487026,0.50185275,0.49814722
131865335,0.50185597,0.49814403
136248813,0.5018633,0.4981367
14367012,0.50187206,0.49812794
11747043,0.5018773,0.49812272
136921547,0.5018927,0.49810728
119084893,0.501919,0.49808103
136100249,0.50192237,0.49807766
121216298,0.5019233,0.4980767
3082183,0.50193554,0.49806446
20584074,0.50193554,0.49806446
25185460,0.5019393,0.49806073
129317616,0.5019393,0.49806073
132283239,0.5019393,0.49806073
137795695,0.5019393,0.49806073
131708540,0.5019401,0.49805993
128866,0.50194204,0.49805796
121006658,0.50195503,0.49804497
76973315,0.50198483,0.49801514
76973510,0.50198483,0.49801514
135856438,0.5019903,0.49800965
71316962,0.5020224,0.4979776
88146187,0.5020428,0.49795726
6475928,0.5020428,0.49795726
89486753,0.502045,0.49795502
500920,0.5020516,0.4979484
6449348,0.5020516,0.4979484
6478043,0.5020516,0.4979484
5282192,0.5020516,0.4979484
3080754,0.5020703,0.49792972
89486751,0.5020757,0.49792433
23519664,0.5020845,0.49791554
56632024,0.50208944,0.49791056
100935585,0.50210255,0.49789745
121487038,0.50210255,0.49789745
189012,0.50210667,0.4978933
21117205,0.5021068,0.49789318
129371096,0.5021068,0.49789318
101343952,0.5021148,0.49788526
90472731,0.50211513,0.4978849
53655871,0.5021184,0.4978816
18604151,0.5021199,0.49788007
152521,0.50213635,0.49786365
