cid,Probability of nonactivity,Probability of activity
21140827,0.17272502,0.827275
127256358,0.17642015,0.82357985
110158190,0.19780499,0.802195
387072,0.20385802,0.796142
3792400,0.20780653,0.7921935
10013690,0.20780653,0.7921935
1620177,0.20780653,0.7921935
126961829,0.2153827,0.7846173
472636,0.21652013,0.78347987
194101,0.21670288,0.7832971
21853097,0.22373879,0.7762612
5271015,0.22388601,0.776114
131884919,0.22464603,0.77535397
3000303,0.22573727,0.7742627
3000242,0.22573727,0.7742627
14978,0.22784662,0.7721534
92209900,0.22784662,0.7721534
46875748,0.22784662,0.7721534
3007220,0.22784662,0.7721534
501518,0.22865623,0.77134377
5271016,0.22885525,0.77114475
9885936,0.23377937,0.7662206
3010383,0.23536128,0.7646387
482589,0.23555517,0.7644448
131884916,0.23688298,0.763117
131885345,0.24350345,0.75649655
6480510,0.24395478,0.7560452
451912,0.24407208,0.7559279
370629,0.24449939,0.7555006
10704791,0.24449939,0.7555006
490435,0.24499822,0.7550018
44308741,0.24499822,0.7550018
73651,0.24499822,0.7550018
131884920,0.24522102,0.754779
131884918,0.24745989,0.7525401
490445,0.25060707,0.7493929
10108316,0.2534194,0.7465806
131881293,0.2539785,0.7460215
9862222,0.25600272,0.7439973
21853094,0.25636506,0.74363494
501519,0.2588622,0.7411378
493016,0.2588939,0.7411061
134229909,0.25908297,0.740917
472637,0.26280755,0.73719245
11776820,0.26372856,0.73627144
3010378,0.26398587,0.7360141
92339825,0.26398587,0.7360141
148033,0.26463085,0.73536915
506145,0.26755464,0.73244536
22880809,0.26910985,0.73089015
73353418,0.26949185,0.73050815
92233558,0.27310854,0.72689146
512127,0.27310854,0.72689146
46874399,0.27310854,0.72689146
71305626,0.27310854,0.72689146
45038620,0.27310854,0.72689146
3007223,0.27414495,0.72585505
11358266,0.27489203,0.72510797
92150012,0.2752427,0.7247573
108175,0.2752427,0.7247573
395997,0.27574706,0.72425294
134229959,0.2768616,0.7231384
6531437,0.27711272,0.7228873
471865,0.27711272,0.7228873
65269,0.27871627,0.72128373
451911,0.27871627,0.72128373
3007918,0.2791975,0.7208025
6245,0.2791975,0.7208025
92209904,0.2791975,0.7208025
92846012,0.2791975,0.7208025
23616027,0.2791975,0.7208025
44330586,0.2791975,0.7208025
92209902,0.2791975,0.7208025
21776949,0.2791975,0.7208025
92262645,0.28003448,0.7199655
131858479,0.28003448,0.7199655
98801,0.2806573,0.7193427
118796809,0.28067243,0.71932757
131881813,0.28194445,0.71805555
358367,0.2834462,0.7165538
472633,0.28437364,0.71562636
451914,0.28778905,0.71221095
446940,0.2907288,0.7092712
512658,0.29312074,0.70687926
482510,0.2932126,0.7067874
500247,0.29332173,0.7066783
92270653,0.29332173,0.7066783
490432,0.29514724,0.70485276
92242775,0.2953164,0.7046836
3006169,0.2953164,0.7046836
65399,0.29558367,0.70441633
44400589,0.29558367,0.70441633
71262374,0.29558367,0.70441633
49784203,0.29568923,0.7043108
92237060,0.29577935,0.70422065
97453,0.29577935,0.70422065
350834,0.2966296,0.7033704
131708761,0.29702473,0.7029753
11277569,0.29705697,0.702943
92243924,0.29727972,0.7027203
21144466,0.29727972,0.7027203
121486830,0.2991557,0.7008443
72212339,0.30019438,0.6998056
256026,0.30130064,0.69869936
5270802,0.30130064,0.69869936
121486926,0.3014766,0.6985234
44572473,0.30205327,0.6979467
124156,0.303083,0.696917
510983,0.303083,0.696917
10017261,0.303083,0.696917
49784135,0.30329442,0.6967056
189898,0.30354887,0.6964511
489877,0.30500877,0.69499123
46875339,0.30610675,0.69389325
92246571,0.30610675,0.69389325
3010388,0.30610675,0.69389325
97297,0.3061921,0.6938079
6419781,0.3061921,0.6938079
25880707,0.3061921,0.6938079
45039587,0.3061921,0.6938079
92242762,0.3064468,0.6935532
3010376,0.3064468,0.6935532
125496047,0.30725288,0.6927471
131885796,0.30789167,0.69210833
92236674,0.30859035,0.69140965
13712878,0.30888963,0.6911104
10833407,0.30919003,0.69080997
1468,0.30949068,0.6905093
451915,0.3097266,0.6902734
15953881,0.3097266,0.6902734
285676,0.30982715,0.69017285
357072,0.31004965,0.68995035
255105,0.31004965,0.68995035
11737492,0.31008166,0.68991834
131881064,0.31034738,0.6896526
92247204,0.31034738,0.6896526
161470,0.31114143,0.68885857
147569,0.31121093,0.68878907
92132157,0.31121093,0.68878907
73265308,0.31121093,0.68878907
6602111,0.31121093,0.68878907
90488943,0.31121093,0.68878907
13009312,0.31121093,0.68878907
469861,0.31196535,0.68803465
126704,0.31220365,0.68779635
469184,0.31220365,0.68779635
6479393,0.31247234,0.68752766
44626655,0.3126853,0.6873147
53462020,0.31557155,0.68442845
127187,0.31557155,0.68442845
46875292,0.31728584,0.68271416
97186,0.31728584,0.68271416
6595184,0.31939334,0.68060666
7043952,0.31939334,0.68060666
124528040,0.31991202,0.680088
