cid,Probability of not Antimicrobial,Probability of Antimicrobial
5273,0.6863245,0.31367555
13463,0.3550762,0.6449238
39148,0.64192826,0.35807174
56328,0.47403604,0.52596396
67358,0.69119453,0.30880544
67762,0.2964812,0.7035188
72213,0.5704243,0.42957568
72266,0.5577842,0.44221583
73319,0.6391784,0.36082157
73514,0.57310766,0.42689234
73545,0.99663067,0.0033693204
97199,0.25295722,0.7470428
98625,0.25694805,0.74305195
98801,0.16716194,0.83283806
98854,0.6727426,0.3272574
99302,0.32048482,0.6795152
101418,0.532146,0.467854
101518,0.5853065,0.41469344
111261,0.3014692,0.6985308
122088,0.6015756,0.39842436
124379,0.48155928,0.5184407
124766,0.54206336,0.45793664
125650,0.36224794,0.63775206
125691,0.6591409,0.34085912
125734,0.7880332,0.2119668
126915,0.7080785,0.29192147
126916,0.5705042,0.42949584
126945,0.9370592,0.06294076
128771,0.47363222,0.5263678
150669,0.768263,0.23173703
152521,0.5802665,0.4197335
160283,0.8221448,0.1778552
160739,0.74454516,0.25545484
167821,0.20400995,0.79599005
171798,0.7458092,0.25419077
174743,0.72803235,0.27196762
177273,0.68512464,0.3148754
193188,0.5176474,0.4823526
227045,0.532146,0.467854
234506,0.48544347,0.5145565
236526,0.5866524,0.41334757
240186,0.6193011,0.3806989
248869,0.7886758,0.21132423
250667,0.46238863,0.53761137
253777,0.77024764,0.22975236
254695,0.7996009,0.2003991
256026,0.72976995,0.27023003
256105,0.7754646,0.22453539
258591,0.68357074,0.31642923
258592,0.25623888,0.7437611
259345,0.53456914,0.4654309
259661,0.41180414,0.58819586
260138,0.43680787,0.5631921
260472,0.72944736,0.27055264
261450,0.4084702,0.5915298
261564,0.5313002,0.46869984
262974,0.5450728,0.45492718
265287,0.5652956,0.43470442
266223,0.62544423,0.37455577
266234,0.8324382,0.16756183
266348,0.59798485,0.40201515
266482,0.3942002,0.6057998
267352,0.39866436,0.60133564
267645,0.5740406,0.4259594
268420,0.7866938,0.2133062
269843,0.6743345,0.3256655
272931,0.42410982,0.5758902
273017,0.5169247,0.48307532
276156,0.5160966,0.4839034
276394,0.76610315,0.23389687
276398,0.61096144,0.38903856
277139,0.79625964,0.20374037
278402,0.61180246,0.3881975
278404,0.46360475,0.53639525
278758,0.47563207,0.5243679
278931,0.65578353,0.34421647
280444,0.48811096,0.51188904
282696,0.6108738,0.38912618
282734,0.10653055,0.89346945
286481,0.73309857,0.26690143
287101,0.2497651,0.7502349
287302,0.71575665,0.28424335
289971,0.49784648,0.5021535
295521,0.93000484,0.069995165
296233,0.24222958,0.7577704
299952,0.40109998,0.5989
301046,0.8021139,0.19788608
324309,0.46295637,0.53704363
326808,0.16522175,0.83477825
330549,0.6113384,0.3886616
333596,0.5424185,0.4575815
333691,0.6004861,0.3995139
334830,0.47334063,0.52665937
335400,0.5191263,0.4808737
338571,0.287575,0.712425
345462,0.64309263,0.35690737
345785,0.30804026,0.69195974
350834,0.38011414,0.61988586
354916,0.5801667,0.41983327
355280,0.51499534,0.4850047
356732,0.5381849,0.4618151
356796,0.5329342,0.46706584
357072,0.39874184,0.60125816
358197,0.7289495,0.2710505
358367,0.6550677,0.34493232
359064,0.28397745,0.71602255
360644,0.6763414,0.32365862
360646,0.7326578,0.2673422
361921,0.5704243,0.42957568
365913,0.3156765,0.6843235
365914,0.5786414,0.4213586
366988,0.6237004,0.37629962
370629,0.2605458,0.7394542
371485,0.18515903,0.814841
373953,0.5477961,0.45220393
374904,0.8227213,0.17727868
375477,0.48819155,0.51180845
387072,0.37045586,0.62954414
387981,0.3724823,0.6275177
391259,0.570237,0.42976302
391266,0.34442282,0.6555772
391363,0.76887184,0.23112816
393623,0.6738571,0.3261429
419564,0.20773649,0.7922635
424081,0.53850484,0.46149513
432973,0.19900429,0.8009957
438430,0.7597007,0.2402993
444146,0.8006507,0.19934931
446048,0.7062632,0.29373682
446658,0.59021056,0.40978944
446824,0.70983374,0.2901663
446941,0.87735766,0.12264236
447722,0.5147977,0.48520228
447724,0.5147977,0.48520228
449044,0.6362003,0.3637997
449584,0.899542,0.10045802
449599,0.71955335,0.28044662
451527,0.5543033,0.44569674
451554,0.6098502,0.39014977
451873,0.6233589,0.3766411
451908,0.37568986,0.62431014
451911,0.6601194,0.33988062
451914,0.29360342,0.7063966
451960,0.674914,0.32508603
451961,0.59694564,0.40305436
452081,0.48513085,0.51486915
452498,0.41059607,0.5894039
453081,0.6551229,0.3448771
453193,0.08622956,0.91377044
453194,0.08622956,0.91377044
453548,0.74454516,0.25545484
453689,0.30547184,0.69452816
453864,0.59504926,0.40495074
454531,0.69177645,0.30822355
454870,0.069854975,0.930145
459942,0.6491022,0.35089782
461537,0.52832973,0.47167024
461652,0.6052414,0.3947586
461854,0.44662315,0.55337685
464390,0.63369095,0.36630908
464392,0.30055594,0.69944406
464404,0.7578154,0.2421846
464406,0.75118494,0.24881504
466385,0.46624422,0.5337558
466409,0.47403604,0.52596396
466426,0.76282376,0.23717622
469792,0.51346767,0.48653236
469794,0.3644246,0.6355754
470796,0.5792619,0.4207381
