cid,Probability of nonactivity,Probability of activity
286012,0.030122876,0.9698771
102381544,0.033087134,0.96691287
16076142,0.035444736,0.96455526
49784135,0.037987113,0.9620129
9862222,0.042934,0.957066
15450939,0.043561757,0.95643824
21144622,0.045013428,0.9549866
9885936,0.045114517,0.9548855
510947,0.04544264,0.95455736
3010797,0.045585036,0.95441496
118796809,0.04818189,0.9518181
6451079,0.048419356,0.95158064
493223,0.051193476,0.9488065
136030678,0.052269638,0.94773036
10108316,0.052408695,0.9475913
472638,0.053292572,0.9467074
472656,0.053292572,0.9467074
3011924,0.053956866,0.94604313
131885191,0.054585516,0.9454145
11119839,0.054694593,0.9453054
136260503,0.054858387,0.9451416
3010352,0.055369616,0.9446304
131858703,0.05583495,0.94416505
131858702,0.057996273,0.9420037
484807,0.058926344,0.94107366
6509777,0.0596568,0.9403432
3011901,0.061639607,0.9383604
92021270,0.06454247,0.9354575
44633776,0.06454247,0.9354575
11173824,0.06459981,0.9354002
44400589,0.064680874,0.9353191
65399,0.064680874,0.9353191
71262374,0.064680874,0.9353191
121606027,0.06501925,0.93498075
6483431,0.06502521,0.9349748
138114911,0.06502521,0.9349748
131708761,0.065458834,0.93454117
512718,0.06550735,0.93449265
3007216,0.06571394,0.93428606
137176604,0.06735164,0.93264836
14730263,0.06814033,0.9318597
135422917,0.06821728,0.9317827
454870,0.069854975,0.930145
135439474,0.06985742,0.9301426
3006169,0.071143925,0.9288561
92242775,0.071143925,0.9288561
49784134,0.07125038,0.9287496
3039710,0.071814656,0.92818534
3007217,0.07229555,0.92770445
45484443,0.07294583,0.92705417
204132,0.07417202,0.925828
21140106,0.07424343,0.9257566
247955,0.075038075,0.9249619
512290,0.075038075,0.9249619
92228414,0.075038075,0.9249619
11824,0.075038075,0.9249619
15955042,0.07517177,0.92482823
266349,0.075691104,0.9243089
3010379,0.075691104,0.9243089
45039587,0.07657379,0.9234262
25880707,0.07657379,0.9234262
6419781,0.07657379,0.9234262
97297,0.07657379,0.9234262
3009937,0.07692313,0.92307687
131858477,0.07776815,0.92223185
135434851,0.078030884,0.9219691
484808,0.07849091,0.9215091
92271256,0.07926285,0.92073715
3007218,0.07934761,0.9206524
21069732,0.07989997,0.92010003
512717,0.08011466,0.91988534
135511145,0.08110368,0.9188963
102339225,0.081935406,0.9180646
9797705,0.08195424,0.91804576
14806070,0.08238226,0.91761774
46875339,0.08257365,0.91742635
92246571,0.08257365,0.91742635
3010388,0.08257365,0.91742635
21140467,0.083090305,0.9169097
3036587,0.08360696,0.91639304
3007223,0.08361024,0.91638976
11779021,0.08428627,0.9157137
9842606,0.085258186,0.9147418
3006170,0.08545411,0.9145459
92236337,0.08545411,0.9145459
21140838,0.08548033,0.91451967
131858473,0.085752666,0.91424733
6450904,0.086108744,0.91389126
50989698,0.086108744,0.91389126
453193,0.08622956,0.91377044
453194,0.08622956,0.91377044
131881061,0.0862478,0.9137522
93982611,0.08675611,0.9132439
5271296,0.08737391,0.9126261
131884920,0.087762475,0.9122375
92243975,0.08803666,0.91196334
136236455,0.08861929,0.9113807
3010354,0.089423,0.910577
492409,0.08951086,0.91048914
470024,0.09002167,0.90997833
270861,0.09002167,0.90997833
73351959,0.090210855,0.90978914
3007215,0.090218246,0.90978175
15742006,0.09196204,0.90803796
49784438,0.092226684,0.9077733
121486764,0.09269863,0.90730137
512291,0.09540373,0.90459627
13108042,0.095472574,0.9045274
137195841,0.09609294,0.90390706
512590,0.098401666,0.90159833
134229959,0.09841418,0.9015858
135405190,0.09849411,0.9015059
16076141,0.09851414,0.90148586
121486830,0.098576844,0.90142316
131884918,0.09857994,0.90142006
504751,0.098804116,0.9011959
135467705,0.10001886,0.89998114
13830104,0.10149509,0.8985049
21151277,0.10303265,0.89696735
3010355,0.10410434,0.89589566
49784137,0.10411996,0.89588004
21829243,0.10417473,0.89582527
492407,0.104610085,0.8953899
46875292,0.10541326,0.89458674
97186,0.10541326,0.89458674
70021591,0.106304765,0.89369524
136235943,0.10646999,0.89353
282734,0.10653055,0.89346945
131858474,0.10676968,0.8932303
92243924,0.10831827,0.89168173
21144466,0.10831827,0.89168173
97453,0.108930945,0.89106905
92237060,0.108930945,0.89106905
21157436,0.1092599,0.8907401
56671903,0.110446095,0.8895539
131884919,0.11072743,0.8892726
10828395,0.110871136,0.88912886
92258444,0.110871136,0.88912886
446940,0.11156863,0.8884314
148033,0.11194277,0.88805723
151237987,0.11238265,0.88761735
11727150,0.112817824,0.8871822
22885207,0.113367975,0.886632
504745,0.114388585,0.8856114
21157833,0.11477858,0.8852214
3007221,0.115060866,0.88493913
3011899,0.11580169,0.8841983
13830101,0.11701292,0.8829871
3009936,0.117453694,0.8825463
49784136,0.118383825,0.8816162
132663,0.11909789,0.8809021
10833407,0.11990261,0.8800974
15289165,0.12016034,0.87983966
49784203,0.12105924,0.87894076
481527,0.12147403,0.878526
6475823,0.12152445,0.87847555
6483433,0.12249309,0.8775069
3010387,0.122739196,0.8772608
14999717,0.1234023,0.8765977
512591,0.12420136,0.87579864
135434850,0.12461114,0.87538886
92209900,0.12701052,0.8729895
46875748,0.12701052,0.8729895
14978,0.12701052,0.8729895
3007220,0.12701052,0.8729895
154701264,0.12715071,0.8728493
131881293,0.12936193,0.8706381
3010385,0.1305716,0.8694284
100416,0.13073498,0.869265
136262333,0.13204318,0.8679568
481530,0.13206834,0.86793166
3010825,0.13344353,0.86655647
10019125,0.13385147,0.86614853
93476651,0.13385147,0.86614853
131880513,0.13408577,0.8659142
3011898,0.13447112,0.8655289
139086336,0.13520986,0.86479014
21121551,0.13550812,0.8644919
9562214,0.13682467,0.86317533
92236380,0.13682467,0.86317533
131876195,0.13682467,0.86317533
355900,0.13730472,0.8626953
453994,0.13730472,0.8626953
121486876,0.13862967,0.8613703
87824325,0.13964283,0.86035717
72212336,0.14020288,0.8597971
15289164,0.14020288,0.8597971
15119214,0.14065182,0.8593482
73353418,0.14077383,0.85922617
121486885,0.14160204,0.85839796
121010792,0.14206088,0.8579391
131876194,0.14229602,0.857704
12018568,0.14405978,0.8559402
121486745,0.1442669,0.8557331
476466,0.1454351,0.8545649
134229912,0.14606148,0.8539385
504747,0.15079391,0.8492061
100417,0.15148854,0.84851146
453997,0.15149355,0.84850645
355902,0.15149355,0.84850645
121486770,0.15270847,0.8472915
137230633,0.1531282,0.8468718
163947,0.15312839,0.8468716
21140290,0.15317959,0.8468204
29982343,0.15351784,0.84648216
107502,0.15351784,0.84648216
92132205,0.15351784,0.84648216
27191376,0.15351784,0.84648216
124428631,0.15351784,0.84648216
45039580,0.15351784,0.84648216
121486927,0.15354496,0.84645504
489849,0.15436935,0.84563065
23253577,0.15664333,0.84335667
92246004,0.15739244,0.84260756
3010384,0.15739244,0.84260756
10471224,0.15878683,0.84121317
92970665,0.15889293,0.8411071
21854256,0.159195,0.840805
134229909,0.1595096,0.8404904
135405252,0.15960127,0.8403987
21853094,0.15998143,0.8400186
154701266,0.1609264,0.8390736
22880800,0.16218466,0.83781534
301080,0.16298926,0.83701074
131879863,0.16298926,0.83701074
3010383,0.16366011,0.8363399
91926387,0.16379327,0.83620673
22880809,0.16394335,0.83605665
156594202,0.16404867,0.8359513
