CID,IUPACName,IsomericSMILES,MolecularFormula,MolecularWeight,HBondDonorCount,HBondAcceptorCount,Synonym
2083077,"1-[1-(4-methoxyphenyl)-2,5-dimethylpyrrol-3-yl]-2-[(5-thiophen-2-yl-1,3,4-oxadiazol-2-yl)sulfanyl]ethanone",CC1=CC(=C(N1C2=CC=C(C=C2)OC)C)C(=O)CSC3=NN=C(O3)C4=CC=CS4,C21H19N3O3S2,425.5,0,7,"['MLS000058371', '1-[1-(4-methoxyphenyl)-2,5-dimethylpyrrol-3-yl]-2-[(5-thiophen-2-yl-1,3,4-oxadiazol-2-yl)sulfanyl]ethanone', 'SMR000064040', '1-[1-(4-methoxyphenyl)-2,5-dimethyl-3-pyrrolyl]-2-[(5-thiophen-2-yl-1,3,4-oxadiazol-2-yl)thio]ethanone', 'MLS002633677', 'CHEMBL1339536', 'BDBM36965', 'cid_2083077', 'CHEBI:114951', 'HMS2413C07', 'AKOS034439399', 'CID 2083077', 'Q27196797', 'Z54137451', '1-[1-(4-methoxyphenyl)-2,5-dimethyl-pyrrol-3-yl]-2-[(5-thiophen-2-yl-1,3,4-oxadiazol-2-yl)sulfanyl]ethanone', '1-[1-(4-methoxyphenyl)-2,5-dimethyl-pyrrol-3-yl]-2-[[5-(2-thienyl)-1,3,4-oxadiazol-2-yl]thio]ethanone']"
138703696,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]-4-[[6-(1,2-oxazol-3-yl)pyridin-3-yl]amino]pyridine-3-carboxamide",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC2=CN=C(C=C2)C3=NOC=C3)C4=CC=C5N4N=CC(=C5)C#N)F)O,C27H23FN8O3,526.5,3,10,"['SCHEMBL21079678', 'BDBM407831', 'US10336762, Compound 775', '(R)-6-(3-cyanopyrrolo[1,2- b]pyridazin-7-yl)-N-(2- fluoro-3-hydroxy-3- methylbutyl)-4-((6- (isoxazol-3-yl)pyridin-3-yl) amino)nicotinamide']"
139316163,"[3-[[2-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-5-[[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]carbamoyl]pyridin-4-yl]amino]cyclobutyl]methyl 3,3-difluoroazetidine-1-carboxylate",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC2CC(C2)COC(=O)N3CC(C3)(F)F)C4=CC=C5N4N=CC(=C5)C#N)F)O,C28H30F3N7O4,585.6,3,11,"['SCHEMBL21161753', 'HLWCNTVVVAZMFN-BUKPSGGLSA-N', 'BDBM407794', 'US10336762, Compound 738', '((1R,3r)-3-((2-(3-cyano- pyrrolo[1,2-b]pyridazin- 7-yl)-5-(((R)-2-fluoro-3- hydroxy-3-methylbutyl) carbamoyl)pyridin-4- yl)amino)cyclobutyl) methyl 3,3-difluoro- azetidine-1-carboxylate', '((1R,3r)-3-((2-(3-cyano-pyrrolo[1,2-b]pyridazin-7-yl)-5-(((R)-2-fluoro-3-hydroxy-3-methylbutyl) carbamoyl)pyridin-4-yl)amino)cyclobutyl) methyl 3,3-difluoro-azetidine-1-carboxylate']"
139315919,"methyl N-[[3-[[2-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-5-[[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]carbamoyl]pyridin-4-yl]amino]-1-fluorocyclobutyl]methyl]carbamate",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC2CC(C2)(CNC(=O)OC)F)C3=CC=C4N3N=CC(=C4)C#N)F)O,C26H29F2N7O4,541.5,4,10,"['SCHEMBL21161459', 'BDBM407814', 'US10336762, Compound 758', 'US10336762, Compound 764', 'US10336762, Compound 765', '(R)-methyl ((3-((2-(3- cyanopyrrolo[1,2- b]pyridazin-7-yl)-5-((2- fluoro-3-hydroxy-3- methylbutyl)carbamoyl) pyridin-4-yl)amino)-1- fluorocyclobutyl) methyl)carbamate']"
138703798,"4-[[(3aR,6aS)-1,2,3,3a,4,5,6,6a-octahydrocyclopenta[c]pyrrol-5-yl]amino]-6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]pyridine-3-carboxamide",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC2C[C@@H]3CNC[C@@H]3C2)C4=CC=C5N4N=CC(=C5)C#N)F)O,C26H30FN7O2,491.6,4,8,"['SCHEMBL21079784', 'SCHEMBL21080045', 'BDBM407307', 'BDBM407310', 'US10336762, Compound 248', 'US10336762, Compound 251', '6-(3-cyanopyrrolo[1,2-b] pyridazin-7-yl)-N-((R)- 2-fluoro-3-hydroxy-3- methylbutyl)-4- (((3aR,5s,6aS)-octa- hydrocyclopenta[c] pyrrol-5-yl)amino) nicotinamide', '6-(3-cyanopyrrolo[1,2-b] pyridazin-7-yl)-N-((R)-2- fluoro-3-hydroxy-3-methyl- butyl)-4-(((3aR,5r,6aS)- octahydrocyclopenta[c] pyrrol-5-yl)amino) nicotinamide']"
138703753,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]-4-[(5-propan-2-yloxypyridin-3-yl)amino]pyridine-3-carboxamide",CC(C)OC1=CN=CC(=C1)NC2=CC(=NC=C2C(=O)NC[C@H](C(C)(C)O)F)C3=CC=C4N3N=CC(=C4)C#N,C27H28FN7O3,517.6,3,9,"['SCHEMBL21079738', 'BDBM407907', 'US10336762, Compound 851', '(R)-6-(3-cyanopyrrolo[1,2- b]pyridazin-7-yl)-N-(2- fluoro-3-hydroxy-3- methylbutyl)-4-((5- isopropoxypyridin- 3-yl)amino)nicotinamide']"
138703741,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]-4-[[1-(4-methyl-1,3-oxazol-5-yl)-2-oxabicyclo[2.2.2]octan-4-yl]amino]pyridine-3-carboxamide",CC1=C(OC=N1)C23CCC(CC2)(CO3)NC4=CC(=NC=C4C(=O)NC[C@H](C(C)(C)O)F)C5=CC=C6N5N=CC(=C6)C#N,C30H32FN7O4,573.6,3,10,"['SCHEMBL21079726', 'BDBM407692', 'US10336762, Compound 634', '(R)-6-(3-cyanopyrrolo[1,2- b]pyridazin-7-yl)-N-(2- fluoro-3-hydroxy-3- methylbutyl)-4-((1-(4- methyloxazol-5-yl)-2- oxabicyclo[2.2.2]octan-4- yl)amino)nicotinamide']"
138703729,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-methyl-4-[[(1R,3S)-3-(methylcarbamoyl)cyclopentyl]amino]pyridine-3-carboxamide",CNC(=O)[C@H]1CC[C@H](C1)NC2=CC(=NC=C2C(=O)NC)C3=CC=C4N3N=CC(=C4)C#N,C22H23N7O2,417.5,3,6,"['SCHEMBL21079714', 'BDBM407527', 'US10336762, Compound 469', '6-(3-cyanopyrrolo[1,2- b]pyridazin-7-yl)-N- methyl-4-(((1R,3S)-3- (methylcarbamoyl)cyclo- pentyl)amino)nicotinamide']"
139316228,"methyl N-[[3-[[2-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-5-[[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]carbamoyl]pyridin-4-yl]amino]-1-hydroxycyclobutyl]methyl]carbamate",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC2CC(C2)(CNC(=O)OC)O)C3=CC=C4N3N=CC(=C4)C#N)F)O,C26H30FN7O5,539.6,5,10,"['SCHEMBL21161834', 'BDBM407815', 'US10336762, Compound 759', 'US10336762, Compound 760', '(R)-methyl ((3-((2-(3- cyanopyrrolo[1,2- b]pyridazin-7-yl)-5-((2- fluoro-3-hydroxy-3- methylbutyl)carbamoyl) pyridin-4-yl)amino)-1- hydroxycyclobutyl) methyl)carbamate']"
139316129,"methyl N-[4-[[2-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-5-[[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]carbamoyl]pyridin-4-yl]amino]-1-bicyclo[2.2.2]octanyl]carbamate",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC23CCC(CC2)(CC3)NC(=O)OC)C4=CC=C5N4N=CC(=C5)C#N)F)O,C29H34FN7O4,563.6,4,9,"['SCHEMBL21161708', 'BDBM407341', 'US10336762, Compound 283', 'US10336762, Compound 311', 'methyl-d3 (R)-(4-((2- (3-cyanopyrrolo[1,2- b]pyridazin-7-yl)-5- ((2-fluoro-3-hydroxy-3- methylbutyl)carbamoyl) pyridin-4-yl)amino) bicyclo[2.2.2]octan-1- yl)carbamate']"
139316214,"N-(5-aminopyridin-3-yl)-6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-4-(propan-2-ylamino)pyridine-3-carboxamide",CC(C)NC1=CC(=NC=C1C(=O)NC2=CN=CC(=C2)N)C3=CC=C4N3N=CC(=C4)C#N,C22H20N8O,412.4,3,7,"['SCHEMBL21161816', 'BDBM407548', 'US10336762, Compound 490', 'N-(5-aminopyridin-3- yl)-6-(3-cyanopyrrolo[1,2- b]pyridazin-7-yl)-4-iso- propylamino)nicotinamide']"
139316170,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]-4-(7-oxabicyclo[2.2.1]heptan-2-ylamino)pyridine-3-carboxamide",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC2CC3CCC2O3)C4=CC=C5N4N=CC(=C5)C#N)F)O,C25H27FN6O3,478.5,3,8,"['SCHEMBL21161761', 'BDBM407154', 'US10336762, Compound 93', '4-(((1R,2R,4S)-7- oxabicyclo[2.2.1]heptan-2- yl)amino)-6-(3-cyano- pyrrolo[1,2-b]pyridazin- 7-yl)-N-((R)-2-fluoro-3- hydroxy-3- methylbutyl)nicotinamide']"
139315978,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]-4-[[1-[(4S)-4-fluoropyrrolidin-3-yl]pyrazol-4-yl]amino]pyridine-3-carboxamide",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC2=CN(N=C2)C3CNC[C@@H]3F)C4=CC=C5N4N=CC(=C5)C#N)F)O,C26H27F2N9O2,535.5,4,10,"['SCHEMBL21161541', 'BDBM407938', 'US10336762, Compound 883', '6-(3-cyanopyrrolo[1,2- b]pyridazin-7-yl)-N- ((R)-2-fluoro-3-hydroxy-3- methylbutyl)-4-((1- ((3R,4S)-4-fluoro- pyrrolidin-3-yl)-1H- pyrazol-4-yl)amino) nicotinamide']"
139316396,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]-4-[[(1S)-3-methoxycyclohexyl]amino]pyridine-3-carboxamide",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1N[C@H]2CCCC(C2)OC)C3=CC=C4N3N=CC(=C4)C#N)F)O,C26H31FN6O3,494.6,3,8,"['SCHEMBL21162059', 'BDBM407123', 'US10336762, Compound 62', '6-(3-cyanopyrrolo[1,2-b] pyridazin-7- yl)-N-((R)-2-fluoro-3- hydroxy-3- methylbutyl)-4-(((1S,3R)-3- methoxycyclohexyl)amino) nicotinamide']"
