baid,activity,aid,sid,cid,geneid,pmid,aidtype,aidmdate,hasdrc,rnai,protacxn,acname,acqualifier,acvalue,aidsrcname,aidname,cmpdname,targetname,targeturl,ecs,repacxn,taxid,cellids,targettaxid
   63471797,Active,1852,3711304,2083077,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"1-[1-(4-Methoxyphenyl)-2,5-dimethyl-3-pyrrolyl]-2-[(5-thiophen-2-yl-1,3,4-oxadiazol-2-yl)thio]ethanone",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471798,Active,1852,3712888,2082098,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,5-methyl-N-quinolin-5-ylthiophene-2-sulfonamide,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471863,Active,1852,4244047,2158903,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"N-[5-(4-fluorophenyl)-1,3,4-oxadiazol-2-yl]-4-[methyl(phenyl)sulfamoyl]benzamide",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471864,Active,1852,4247289,3241516,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"N-(5-(2-chlorophenyl)-1,3,4-oxadiazol-2-yl)-4-((2-methylpiperidin-1-yl)sulfonyl)benzamide",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471865,Active,1852,4249058,2158895,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"4-(azepan-1-ylsulfonyl)-N-[5-(2-chlorophenyl)-1,3,4-oxadiazol-2-yl]benzamide",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471867,Active,1852,4255762,2961854,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"N-1-adamantyl-2-[(1,5-dicyano-4-oxo-3-azaspiro[5.5]undec-1-en-2-yl)thio]acetamide",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471869,Active,1852,7971377,3309622,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,N-ethyl-N-(4-ethylphenyl)-7H-purin-6-amine,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471871,Active,1852,7974203,135449223,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,2-[(4-methoxy-6-methylquinazolin-2-yl)amino]-1H-quinazolin-4-one,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471872,Active,1852,7976188,873949,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"6-Bromo-2,8-dimethyl-4-morpholin-4-ylquinolin-5-amine",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471873,Active,1852,11533037,439501,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,Ouabain,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
