,coef
MW,0.0015222864659054228
AMW,-0.004764727499571798
Si,-0.0017277867974632502
nAA,-0.002683445634828052
RBN,-0.00023097831198908827
H%,-0.004616040427453312
X%,0.0004662898259579577
max_conj_path,0.006629181746402409
Rperim,-0.0054506988175358475
D/Dtr03,-0.0006985996000026739
D/Dtr04,-0.00021639423916992956
D/Dtr05,-0.0005934054190097022
D/Dtr06,-0.0005499140590307801
D/Dtr07,-8.129576576034089e-05
D/Dtr08,-0.00029016533099098364
D/Dtr09,-1.2558327217360354e-05
D/Dtr10,5.749378901068677e-05
D/Dtr12,0.00056654174139792
Pol,0.005947047561609273
LPRS,0.001019150808935993
ECC,0.00011525686026292346
MDDD,-0.0022046562834460433
UNIP,0.0009940131922748438
CENT,1.173575101141446e-06
VAR,0.0002298378239518736
MaxTD,-0.012919164562102878
Wap,-2.352828009764984e-09
S3K,-0.0014927604042043452
MAXDN,-0.00564979832514154
MAXDP,0.001026046929267032
DELS,-7.11912088657796e-05
BAC,-0.0014214956804438174
SRW09,-0.0032095450206494187
piPC07,-0.012000597219902518
piPC10,0.01999380088414891
ISIZ,0.0007063450183865653
IDET,5.455752852568221e-06
TIC0,-0.0006653387241651833
TIC1,0.0004476020620943525
TIC2,0.00011110197944349551
TIC3,-0.0004000610090541689
TIC4,1.304973341277604e-06
TIC5,-0.0006695909266574863
J_A,0.0008516698402873427
Wi_D,1.3148096401756604e-06
AVS_D,-0.00022487398458052047
H_D,-3.8969453412945026e-05
SpPos_D,-6.366055875771559e-05
SpMax_D,3.822472973386973e-05
SpDiam_D,6.40266217052524e-05
SpAD_D,-6.878643903258336e-05
SM6_D,-0.003879989217730372
QW_L,2.640275851625735e-06
TI2_L,0.004180586581607313
SpAD_L,-9.498113634805674e-08
J_X,2.0751753422582408e-05
J_H2,-0.0015562762887411756
Wi_Dt,4.107817118258131e-06
AVS_Dt,-0.0002560408109414266
H_Dt,0.0012180393461938687
J_Dt,0.009709809035003906
SpPos_Dt,-0.0004674886216806566
SpMax_Dt,0.00013508815921408083
SpDiam_Dt,-1.3103859432604213e-05
SpAD_Dt,-6.371004985017114e-05
SpMAD_Dt,0.007160605670444515
Ho_Dt,-0.007255117675239334
SM6_Dt,-1.850148168622567e-05
Wi_D/Dt,0.00018040974380483316
H_D/Dt,5.180052119147741e-05
J_D/Dt,-0.007188213660142561
SpPos_D/Dt,-0.0025841159029951527
SpMax_D/Dt,-0.0009605956317356972
SpDiam_D/Dt,-0.009482864542743455
SpAD_D/Dt,-0.00013721242094739361
Wi_Dz(Z),1.283860339037655e-07
AVS_Dz(Z),-7.744199619566516e-05
H_Dz(Z),0.0003215396499437932
SpAbs_Dz(Z),-8.256420481033624e-05
SpMax_Dz(Z),4.340511401809111e-05
SpDiam_Dz(Z),-5.860505875397058e-05
SpAD_Dz(Z),1.077968803253819e-05
Wi_Dz(m),1.200906803226786e-06
AVS_Dz(m),-7.591388710602742e-05
H_Dz(m),0.00033996357526903725
SpAbs_Dz(m),-8.794648062333538e-05
SpMax_Dz(m),4.5653734173129034e-05
SpDiam_Dz(m),-5.855479461900905e-05
SpAD_Dz(m),1.0378510144860867e-05
Wi_Dz(p),1.1565629229391567e-06
AVS_Dz(p),0.00042715217569840334
H_Dz(p),-0.0010562091612417034
SpAbs_Dz(p),6.868022500336304e-05
SpMax_Dz(p),5.667964200126458e-05
SpDiam_Dz(p),7.29227292067169e-05
SpAD_Dz(p),-7.657543298135669e-05
SpMAD_Dz(p),0.0007402433292833946
Wi_Dz(i),-5.411791531599307e-06
AVS_Dz(i),-1.7389010465627363e-05
H_Dz(i),0.00047002113011418054
SpAbs_Dz(i),-0.00010259443168948874
SpMax_Dz(i),5.3353607088967377e-05
SpDiam_Dz(i),-0.00010065817592993289
SpAD_Dz(i),3.757195129066584e-05
Wi_B(m),0.0036366038544766916
J_B(m),-2.2574581281119604e-05
SpAD_B(m),0.00027717465367761376
Wi_B(i),2.9221703938936832e-05
J_B(i),-0.00011624519510837261
SpAD_B(i),1.1947411883470587e-06
ATS8m,0.0105214789920761
ATSC1m,-0.0009815801802845884
ATSC2m,-0.0019322359610849224
ATSC3m,-0.0005217673147055606
ATSC4m,-0.0010276197580940036
ATSC5m,-0.00010829763396524408
ATSC6m,-0.0013717583963665657
ATSC7m,0.0020181867936165964
ATSC8m,-0.0033604097121829055
ATSC4p,-0.00010134990828738874
P_VSA_LogP_1,0.0011146323370694476
P_VSA_LogP_2,-0.00035325151236575557
P_VSA_LogP_3,-0.0006175450848869645
P_VSA_LogP_4,-0.0010515196789508648
P_VSA_LogP_5,-0.00042305358079109225
P_VSA_LogP_6,-0.00019666913274350278
P_VSA_LogP_7,0.00034596573838245744
P_VSA_LogP_8,-0.00014573308239840705
P_VSA_MR_1,0.00019131534078953996
P_VSA_MR_2,-0.0006640126185465981
P_VSA_MR_3,-0.0005149420855784419
P_VSA_MR_5,0.000732082882057671
P_VSA_MR_6,-0.0009161263449494428
P_VSA_MR_7,0.001939926759066597
P_VSA_MR_8,0.0008508097153693674
P_VSA_m_1,-0.00016923696459612202
P_VSA_m_2,0.0001780603107039835
P_VSA_m_3,0.0010340563283587885
P_VSA_m_4,-0.0032746402224827784
P_VSA_m_5,0.0005444656406326223
P_VSA_v_1,-0.00042080529968172703
P_VSA_v_2,5.8985133428233264e-05
P_VSA_e_1,-0.0002096362760699373
P_VSA_e_2,0.0018195510122344845
P_VSA_e_3,-0.00014759362675498882
P_VSA_e_5,0.00012116802097520599
P_VSA_p_1,-0.0002098804543782212
P_VSA_p_4,-0.0006240398174529382
P_VSA_i_1,-5.0224592380157994e-05
P_VSA_i_3,-2.8146304040471823e-05
P_VSA_i_4,-0.00038178555527456704
P_VSA_s_1,-0.0030882914768484804
P_VSA_s_2,0.0008768593956649453
P_VSA_s_3,-0.0020084422940555525
P_VSA_s_4,-0.0019482243748130115
P_VSA_s_5,-0.0014370686743831386
P_VSA_s_6,0.0006278897896093955
P_VSA_ppp_L,9.753205777175435e-06
P_VSA_ppp_P,-0.002020956916399863
P_VSA_ppp_N,-6.392356858800718e-06
P_VSA_ppp_D,7.039480469402614e-05
P_VSA_ppp_A,-0.0020923712248867295
P_VSA_ppp_ar,-6.0130256390126817e-05
P_VSA_ppp_con,0.0006152384606402583
P_VSA_ppp_cyc,0.0017657256378748344
P_VSA_ppp_ter,0.00018533475006009598
P_VSA_charge_1,5.669318456127998e-05
P_VSA_charge_2,0.0025394840566198584
P_VSA_charge_3,0.0013633418090839783
P_VSA_charge_4,0.0020233190489281918
P_VSA_charge_5,0.0006632566625824254
P_VSA_charge_7,-0.0004505084799550404
P_VSA_charge_8,0.0006314076723428824
P_VSA_charge_9,0.0003002250328396313
P_VSA_charge_10,0.0020488714799123025
P_VSA_charge_11,0.00022469310833524397
P_VSA_charge_12,0.0004925609146318459
P_VSA_charge_13,-0.00033391519194946105
Eta_epsi,0.0004956742548114886
Eta_C,0.00039327375337992575
Eta_R,-0.0007787602268525342
