cid,Activite,IsomericSMILES,Canonical_smiles
3011383,1,C1=C(N=C(N=C1OC[C@H](CO)OCP(=O)(O)O)N)N,Nc1cc(OC[C@H](CO)OCP(=O)(O)O)nc(N)n1
53357718,1,C1=CC=C(C=C1)CC(CP(=O)(O)O)OCCN2C=NC3=C(N=CN=C32)N,Nc1ncnc2c1ncn2CCOC(Cc1ccccc1)CP(=O)(O)O
135398513,1,C1=NC2=C(N1COCCO)N=C(NC2=O)N,Nc1nc2c(ncn2COCCO)c(=O)[nH]1
446727,1,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)/C=C/Br)CO)O,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br
168280858,1,CCN(CC)CC.CC(CN1C=NC2=C1N=C(NC2=O)N)(CO)OCP(=O)(O)O,CC(CO)(Cn1cnc2c(=O)[nH]c(N)nc21)OCP(=O)(O)O.CCN(CC)CC
5271150,1,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)C#CCCCCCCCCCBr)CO)O,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C#CCCCCCCCCCBr
11517272,1,CCCCCCCCCCC#CC1=CC2=CN(C(=O)N=C2O1)[C@H]3C[C@@H]([C@H](O3)CO)O,CCCCCCCCCCC#Cc1cc2cn([C@H]3C[C@H](O)[C@@H](CO)O3)c(=O)nc2o1
135398740,1,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1
11513676,1,CC[C@H]1C(=O)N([C@@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)C(C)C)CC)C)C,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(CC)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
137641103,1,CC(C)(C)C(=O)OCOP(=O)(COCCOC1=NC(=NC(=C1)N)N)[O-].[Na+],CC(C)(C)C(=O)OCOP(=O)([O-])COCCOc1cc(N)nc(N)n1.[Na+]
490385,1,C1=C(C(=O)NC(=O)N1COC(CO)CO)C(CI)N=[N+]=[N-],[N-]=[N+]=NC(CI)c1cn(COC(CO)CO)c(=O)[nH]c1=O
480974,1,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=O)N(S2(=O)=O)CC4=CC=C(C=C4)Cl,O=C1c2ccccc2N(Cc2ccccc2)S(=O)(=O)N1Cc1ccc(Cl)cc1
11752151,1,C[C@H]1CC[C@@H]2[C@H](C[C@H](C3=C(C(=C(C1=C23)O)O[C@H]4[C@H]([C@@H]([C@@H]([C@@H](O4)C)OC(=O)C)O)O)C)C=C(C)C)C,CC(=O)O[C@@H]1[C@H](C)O[C@@H](Oc2c(C)c3c4c(c2O)[C@@H](C)CC[C@@H]4[C@@H](C)C[C@H]3C=C(C)C)[C@@H](O)[C@@H]1O
