cid,Probability of nonactivity,Probability of activity
6479188,0.11877149,0.8812285
6479189,0.12095487,0.8790451
6479190,0.15715337,0.84284663
483936,0.23226559,0.7677344
6439573,0.2423079,0.7576921
483920,0.24775529,0.7522447
483930,0.26080102,0.739199
95166384,0.28661585,0.71338415
46948803,0.28661585,0.71338415
6438459,0.29357928,0.7064207
6450981,0.29357928,0.7064207
6475885,0.29900938,0.7009906
483937,0.29945254,0.70054746
121487353,0.30738086,0.69261914
13051253,0.30738086,0.69261914
88518334,0.3130324,0.6869676
6435302,0.31339937,0.6866006
6479191,0.31339937,0.6866006
512299,0.31339937,0.6866006
68886,0.31488502,0.685115
6481583,0.31488502,0.685115
44629987,0.31488502,0.685115
514816,0.315125,0.684875
483929,0.31669182,0.6833082
6438371,0.322603,0.677397
150201,0.322603,0.677397
6440124,0.322603,0.677397
133458,0.3240626,0.6759374
71347466,0.32543892,0.6745611
53837746,0.32767892,0.6723211
514815,0.3336026,0.6663974
452988,0.33624893,0.66375107
151864,0.3403738,0.6596262
506142,0.3403738,0.6596262
6478372,0.34489906,0.65510094
121487129,0.3457299,0.6542701
189893,0.3457299,0.6542701
483922,0.34878707,0.65121293
135538725,0.35985386,0.64014614
42601468,0.36675626,0.63324374
514814,0.36677957,0.63322043
18655749,0.3685007,0.6314993
147145,0.37114948,0.6288505
71316819,0.37114948,0.6288505
121487445,0.373047,0.626953
483926,0.37761384,0.62238616
46875748,0.38366228,0.6163377
92209900,0.38366228,0.6163377
14978,0.38366228,0.6163377
3007220,0.38366228,0.6163377
14885959,0.38554388,0.6144561
14885960,0.38554388,0.6144561
480264,0.38554388,0.6144561
135531159,0.3879798,0.6120202
135815016,0.3879798,0.6120202
6479900,0.39065117,0.60934883
6475205,0.39065117,0.60934883
24773090,0.3914138,0.6085862
301081,0.3914138,0.6085862
512587,0.39161235,0.60838765
459905,0.39161235,0.60838765
135718450,0.4006477,0.5993523
451457,0.41206396,0.58793604
320720,0.41213942,0.5878606
13940600,0.41316867,0.58683133
6333525,0.4152428,0.5847572
514805,0.41528738,0.5847126
188215,0.41659003,0.58340997
10849857,0.41714406,0.58285594
135618546,0.4175902,0.5824098
