CID,IUPACName,IsomericSMILES,MolecularFormula,MolecularWeight,HBondDonorCount,HBondAcceptorCount,Synonym
3011383,"[(2S)-1-(2,6-diaminopyrimidin-4-yl)oxy-3-hydroxypropan-2-yl]oxymethylphosphonic acid",C1=C(N=C(N=C1OC[C@H](CO)OCP(=O)(O)O)N)N,C8H15N4O6P,294.20,5,10,"['(S)-HPMPO-DAPym', '(S)-HPMPO-DAPy', 'SCHEMBL965650', 'CHEMBL346387', '(s)-6-[3-hydroxy-2-(phosphonomethoxy)propoxy]-2,4-diaminopyrimidine', '[(1S)-1-[(2,6-diaminopyrimidin-4-yl)oxymethyl]-2-hydroxy-ethoxy]methylphosphonic acid', 'Phosphonic acid, [[(1S)-2-[(2,6-diamino-4-pyrimidinyl)oxy]-1-(hydroxymethyl)ethoxy]methyl]-']"
493054,2-[(2-amino-6-oxo-1H-pyrimidin-4-yl)oxy]ethoxymethylphosphonic acid,C1=C(N=C(NC1=O)N)OCCOCP(=O)(O)O,C7H12N3O6P,265.16,4,7,"['CHEMBL504793', 'SCHEMBL6394875', 'H-3574', '2-(2-amino-6-hydroxy-pyrimidin-4-yl)oxyethoxymethylphosphonic acid', 'Phosphonic acid, [[2-[(2-amino-6-hydroxy-4-pyrimidinyl)oxy]ethoxy]methyl]-']"
3011374,"2-(2,6-diamino-5-methylpyrimidin-4-yl)oxyethoxymethylphosphonic acid",CC1=C(N=C(N=C1OCCOCP(=O)(O)O)N)N,C8H15N4O5P,278.20,4,9,"['5-Methyl-PMEO-DAPy', 'PMEO-5-Me-DAPy', '5-Methyl-PMEO-DAPym', 'CHEMBL342983', 'SCHEMBL1032065', '2-(2,6-diamino-5-methyl-pyrimidin-4-yl)oxyethoxymethylphosphonic acid', 'Phosphonic acid, [[2-[(2,6-diamino-5-methyl-4-pyrimidinyl)oxy]ethoxy]methyl]-']"
60172,2-(6-aminopurin-9-yl)ethoxymethylphosphonic acid,C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N,C8H12N5O4P,273.19,3,8,"['ADEFOVIR', '106941-25-7', 'PMEA', '((2-(6-Amino-9H-purin-9-yl)ethoxy)methyl)phosphonic acid', '9-(2-Phosphonylmethoxyethyl)adenine', 'GS 0393', 'GS-0393', '9-(2-(Phosphonomethoxy)ethyl)adenine', 'GS 393', 'DRG-0156', 'N-(2-Phosphonylmethoxyethyl)adenine', '{[2-(6-Amino-9h-Purin-9-Yl)ethoxy]methyl}phosphonic Acid', 'HSDB 8079', 'UNII-6GQP90I798', '2-(6-aminopurin-9-yl)ethoxymethylphosphonic acid', 'BRN 3561094', 'DTXSID6046214', '6GQP90I798', '9-(2-phosphonomethoxyethyl)adenine', 'N-(2-Phophonomethoxyethyl-2,6-diaminopurine)', 'MFCD00866943', 'CHEMBL484', 'Phosphonic acid, [[2-(6-amino-9H-purin-9-yl)ethoxy]methyl]-', 'CHEBI:2469', 'DTXCID4026214', 'Phosphonic acid, ((2-(6-amino-9H-purin-9-yl)ethoxy)methyl)-', '106941-25-7 (free acid)', '9-[2-(phosphonomethoxy)ethyl]adenine', '(2-(6-amino-9H-purin-9-yl)ethoxy)methylphosphonic acid', 'NCGC00160539-01', '[[2-(6-Amino-9H-purin-9-yl)ethoxy]methyl]phosphonic Acid', 'ADEFOVIR (MART.)', 'ADEFOVIR [MART.]', '9-[2-phosphonomethoxyethyl]adenine', '9-PMEA', '[2-(6-amino-9H-purin-9-yl)ethoxy]methylphosphonic acid', 'Adefovir [USAN:INN:BAN]', 'Adefovirum', 'adefovir(1-)', 'Phosphonylmethoxyethyl-a', 'ADEFOVIR [USAN]', 'Adefovir (USAN/INN)', 'ADEFOVIR [INN]', 'ADEFOVIR [MI]', 'ADEFOVIR [VANDF]', 'AMD3100 and PMEA', 'ADEFOVIR [WHO-DD]', 'SCHEMBL49373', 'Adefovir, >=98% (HPLC)', 'J05AF08', 'CHEBI:134512', 'SUPKOOSCJHTBAH-UHFFFAOYSA-N', 'P-[[2-(6-Amino-9H-purin-9-yl)ethoxy]methyl]phosphonic acid', 'BCP22955', 'HY-B1826', '9-(2-Phosphorylmethoxyethyl)adenine', 'Tox21_111882', 'AC-012', 'BDBM50001103', 's5068', '9-[(2-phosphonylmethoxy)ethyl]adenine', 'AKOS005259246', 'DB13868', 'KS-5018', 'NCGC00160539-02', 'BA166179', 'SY015278', 'CAS-106941-25-7', 'CS-0013877', 'FT-0601785', '9-[3-(Phosphonomethoxy)ethyl]adenine (PMEA)', 'D02768', 'EN300-6733813', 'A801540', 'Q353551', 'SR-01000945034', 'Q-200594', 'SR-01000945034-1', 'PMEA, GS-393, 9-(2-Phosphonylmethoxyethyl)adenine', '[2-(6-Amino-purin-9-yl)-ethoxymethyl]-phosphonic acid', 'Z1741977297', 'Phosphonic acid, ((2-6-amino-9H-purin-9-YL)ethoxy)methyl', '((2-(6-Amino-9H-purin-9-yl)ethoxy)-methyl)phosphonic acid', '(PMEA)[2-(6-Amino-purin-9-yl)-ethoxymethyl]-phosphonic acid', '[2-(6-Amino-purin-9-yl)-ethoxymethyl]-phosphonic acid(PMEA)', 'hydrogen {[2-(6-amino-9H-purin-9-yl)ethoxy]methyl}phosphonate', 'P-[[2-(6-amino-9H-purin-9-yl)ethoxy]methyl]-phosphonic acid', '((2-6-amino-9H-purin-9-yl) ethoxy) methyl)- phosphonic acid.', '5HG']"
493059,"2-(2,6-diaminopyrimidin-4-yl)sulfanylethoxymethylphosphonic acid",C1=C(N=C(N=C1SCCOCP(=O)(O)O)N)N,C7H13N4O4PS,280.24,4,9,"['CHEMBL57548', 'SCHEMBL6395597', '2-(2,6-diaminopyrimidin-4-yl)sulfanylethoxymethylphosphonic acid', 'H-3408', 'Phosphonic acid, [[2-[(2,6-diamino-4-pyrimidinyl)thio]ethoxy]methyl]-']"
3011369,"2-[2,4-diamino-5-(cyanomethyl)-6-oxopyrimidin-1-yl]ethoxymethylphosphonic acid",C(COCP(=O)(O)O)N1C(=O)C(=C(N=C1N)N)CC#N,C9H14N5O5P,303.21,4,8,"['CHEMBL356695', '2-[2,4-diamino-5-(cyanomethyl)-6-oxo-pyrimidin-1-yl]ethoxymethylphosphonic acid', 'Phosphonic acid, [[2-[2,4-diamino-5-(cyanomethyl)-6-oxo-1(6H)-pyrimidinyl]ethoxy]methyl]-']"
493485,"3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2-one",CCCCCC1=CC=C(C=C1)C2=CC3=CN(C(=O)N=C3O2)[C@H]4C[C@@H]([C@H](O4)CO)O,C22H26N2O5,398.5,2,5,"['319425-66-6', 'CF-1743', 'Cf1743', 'UNII-5XGI48Q2DH', '5XGI48Q2DH', 'Furo[2,3-d]pyrimidin-2(3H)-one,3-(2-deoxy-b-D-erythro-pentofuranosyl)-6-(4-pentylphenyl)-', '3-((2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2(3H)-one', 'MFGSDSRTGUVZQG-DFQSSKMNSA-N', 'CHEMBL344738', 'SCHEMBL17709503', 'DTXSID60185781', 'BDBM50481116', 'AKOS040748112', '3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2-one', 'Q5427311', '(2R,4S,5R)(4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2(3H)-one', '3-((2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2(3H)-one', '3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2-one', '6-(4-Pentyl-phenyl)-3-((2R,4S,5R)-4-hydroxy-5-hydroxymethyl-tetrahydro-furan-2-yl)-3H-furo[2,3-d]pyrimidin-2-one', 'FURO(2,3-D)PYRIMIDIN-2(3H)-ONE, 3-(2-DEOXY-.BETA.-D-ERYTHRO-PENTOFURANOSYL)-6-(4-PENTYLPHENYL)-']"
493486,"6-(4-hexylphenyl)-3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]furo[2,3-d]pyrimidin-2-one",CCCCCCC1=CC=C(C=C1)C2=CC3=CN(C(=O)N=C3O2)[C@H]4C[C@@H]([C@H](O4)CO)O,C23H28N2O5,412.5,2,5,"['Cf1742', 'CHEMBL147862', '6-(4-Hexyl-phenyl)-3-((2R,4S,5R)-4-hydroxy-5-hydroxymethyl-tetrahydro-furan-2-yl)-3H-furo[2,3-d]pyrimidin-2-one', '6-(4-hexylphenyl)-3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]furo[2,3-d]pyrimidin-2-one']"
493485,"3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2-one",CCCCCC1=CC=C(C=C1)C2=CC3=CN(C(=O)N=C3O2)[C@H]4C[C@@H]([C@H](O4)CO)O,C22H26N2O5,398.5,2,5,"['319425-66-6', 'CF-1743', 'Cf1743', 'UNII-5XGI48Q2DH', '5XGI48Q2DH', 'Furo[2,3-d]pyrimidin-2(3H)-one,3-(2-deoxy-b-D-erythro-pentofuranosyl)-6-(4-pentylphenyl)-', '3-((2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2(3H)-one', 'MFGSDSRTGUVZQG-DFQSSKMNSA-N', 'CHEMBL344738', 'SCHEMBL17709503', 'DTXSID60185781', 'BDBM50481116', 'AKOS040748112', '3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2-one', 'Q5427311', '(2R,4S,5R)(4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2(3H)-one', '3-((2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2(3H)-one', '3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2-one', '6-(4-Pentyl-phenyl)-3-((2R,4S,5R)-4-hydroxy-5-hydroxymethyl-tetrahydro-furan-2-yl)-3H-furo[2,3-d]pyrimidin-2-one', 'FURO(2,3-D)PYRIMIDIN-2(3H)-ONE, 3-(2-DEOXY-.BETA.-D-ERYTHRO-PENTOFURANOSYL)-6-(4-PENTYLPHENYL)-']"
493485,"3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2-one",CCCCCC1=CC=C(C=C1)C2=CC3=CN(C(=O)N=C3O2)[C@H]4C[C@@H]([C@H](O4)CO)O,C22H26N2O5,398.5,2,5,"['319425-66-6', 'CF-1743', 'Cf1743', 'UNII-5XGI48Q2DH', '5XGI48Q2DH', 'Furo[2,3-d]pyrimidin-2(3H)-one,3-(2-deoxy-b-D-erythro-pentofuranosyl)-6-(4-pentylphenyl)-', '3-((2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2(3H)-one', 'MFGSDSRTGUVZQG-DFQSSKMNSA-N', 'CHEMBL344738', 'SCHEMBL17709503', 'DTXSID60185781', 'BDBM50481116', 'AKOS040748112', '3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2-one', 'Q5427311', '(2R,4S,5R)(4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2(3H)-one', '3-((2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2(3H)-one', '3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2-one', '6-(4-Pentyl-phenyl)-3-((2R,4S,5R)-4-hydroxy-5-hydroxymethyl-tetrahydro-furan-2-yl)-3H-furo[2,3-d]pyrimidin-2-one', 'FURO(2,3-D)PYRIMIDIN-2(3H)-ONE, 3-(2-DEOXY-.BETA.-D-ERYTHRO-PENTOFURANOSYL)-6-(4-PENTYLPHENYL)-']"
