baid,acvalue,aid,sid,cid,geneid,pmid,aidtype,aidmdate,hasdrc,rnai,activity,protacxn,acname,acqualifier,aidsrcname,aidname,cmpdname,targetname,targeturl,ecs,repacxn,taxid,cellids,targettaxid,anatomyid,anatomy
101446260,1.7e-07,392537,103392324,3011383,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,"[(1S)-1-[(2,6-diaminopyrimidin-4-yl)oxymethyl]-2-hydroxy-ethoxy]methylphosphonic acid",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446806,9.5e-06,392537,103651488,493054,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,2-(2-Amino-6-hydroxy-pyrimidin-4-yl)oxyethoxymethylphosphonic acid,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446243,1.8e-05,392537,103391778,3011374,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,"2-(2,6-Diamino-5-methyl-pyrimidin-4-yl)oxyethoxymethylphosphonic acid",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446249,3.5e-05,392537,103169255,60172,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,Adefovir,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446801,5.357e-05,392537,103246046,493059,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,"2-(2,6-Diaminopyrimidin-4-yl)sulfanylethoxymethylphosphonic acid",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446235,8.4e-05,392537,103391801,3011369,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,"2-[2,4-Diamino-5-(cyanomethyl)-6-oxo-pyrimidin-1-yl]ethoxymethylphosphonic acid",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
100345784,0.0001,217670,103389810,493485,NULL,11150169,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,"Evaluated for the anti-VZV activity, the concentration of compounds in uM required to reduce VZV TS plaque formation after 5 days in HEL cell cultures compared to untreated controls.",Unii-5xgi48Q2DH,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
100345786,0.0001,217670,103389785,493486,NULL,11150169,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,"Evaluated for the anti-VZV activity, the concentration of compounds in uM required to reduce VZV TS plaque formation after 5 days in HEL cell cultures compared to untreated controls.","6-(4-hexylphenyl)-3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]furo[2,3-d]pyrimidin-2-one",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
100708581,0.0001,216465,103389810,493485,NULL,15109620,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against Varicella-Zoster virus (OKA),Unii-5xgi48Q2DH,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101735916,0.0001,304883,103389810,493485,NULL,18052321,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against TK+ VZV YS in HEL cells after 5 days,Unii-5xgi48Q2DH,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
